Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Driving Instructor,25%,126,881,0.143019296,Supply Chain & Logistics
Drone Pilot,40%,357,1046,0.341300191,Law Enforcement
Drug And Alcohol Counselor,20%,201,1360,0.147794118,Supply Chain & Logistics
Drug Safety Associate,45%,529,1667,0.317336533,Construction
Drupal Developer,60%,108,776,0.139175258,Hospitality
Drywall Finisher,20%,39,433,0.090069284,Administrative & Clerical
Dsp Engineer,35%,438,1225,0.35755102,Communication & PR
Dump Truck Driver,40%,54,164,0.329268293,Medical & Healthcare
Early Childhood Education,40%,440,1092,0.402930403,Sales & Marketing
Early Childhood Teacher,50%,73,562,0.129893238,Communication & PR
Early Intervention Specialist,50%,418,1440,0.290277778,Hospitality
Echocardiographer,30%,120,687,0.174672489,Data & IT
Ecologist,20%,145,1121,0.129348796,Communication & PR
Ecommerce,70%,161,1513,0.106411104,Administrative & Clerical
Ecommerce Manager,45%,904,3345,0.270254111,Communication & PR
Economic Analyst,25%,206,1401,0.14703783,Sales & Marketing
Economic Consultant,30%,164,1072,0.152985075,Sales & Marketing
Economics Teacher,25%,219,1597,0.137132123,Law Enforcement
Economist,25%,214,1450,0.147586207,Hospitality
Edi Analyst,38%,524,1437,0.364648573,Administrative & Clerical
Edi Developer,55%,114,746,0.152815013,Construction
Editor,20%,265,1649,0.160703457,Medical & Healthcare
Editor In Chief,20%,224,1457,0.153740563,Supply Chain & Logistics
Editorial Assistant,20%,257,1599,0.160725453,Law Enforcement
Education Administrator,15%,838,3498,0.239565466,Construction
Education Consultant,40%,618,1955,0.316112532,Hospitality
Education Coordinator,15%,848,3590,0.236211699,Sales & Marketing
Education Specialist,45%,462,1578,0.292775665,Data & IT
Education Teacher,20%,153,1101,0.138964578,Hospitality
Educational Assistant,25%,232,1561,0.148622678,Construction
Educational Consultant,50%,162,1458,0.111111111,Data & IT
Educational Diagnostician,30%,132,906,0.145695364,Communication & PR
Educator,20%,166,1160,0.143103448,Communication & PR
Eeg Technician,30%,111,669,0.165919283,Administrative & Clerical
Ehs Manager,20%,212,1361,0.155767818,Data & IT
Ehs Specialist,20%,205,1341,0.152870992,Administrative & Clerical
Ekg Technician,30%,111,668,0.166167665,Leadership & Strategy
Elderly Caregiver,20%,144,927,0.155339806,Leadership & Strategy
Elderly Companion,5%,618,2543,0.243020055,Data & IT
Electric Lineman,20%,69,671,0.102831595,Administrative & Clerical
Electrical Apprentice,15%,577,2073,0.278340569,Hospitality
Electrical Assistant,15%,336,1274,0.263736264,Hospitality
Electrical Design Engineer,42%,420,1212,0.346534653,Law Enforcement
Electrical Designer,42%,415,1217,0.341002465,Construction
Electrical Drafter,65%,123,920,0.133695652,Supply Chain & Logistics
Electrical Engineer,50%,130,847,0.153482881,Administrative & Clerical
Electrical Engineering,20%,163,1181,0.138018628,Leadership & Strategy
Electrical Engineering Technician,15%,1075,4411,0.24370891,Data & IT
Electrical Estimator,30%,176,1063,0.165569144,Medical & Healthcare
Electrical Helper,15%,251,996,0.252008032,Data & IT
Electrical Inspector,25%,176,1325,0.132830189,Law Enforcement
Electrical Project Manager,40%,510,1446,0.352697095,Administrative & Clerical
Electrical Superintendent,10%,814,3497,0.232770947,Communication & PR
Electrical Technician,70%,6,45,0.133333333,Supply Chain & Logistics
Electrician,15%,324,1222,0.265139116,Communication & PR
Electrician Apprentice,10%,459,1472,0.311820652,Administrative & Clerical
Electrician Helper,15%,316,1200,0.263333333,Data & IT
Electromechanical Technician,15%,718,2526,0.284243864,Communication & PR
Electronic Assembler,65%,59,497,0.118712274,Data & IT
Electronic Engineer,32%,202,1552,0.130154639,Construction
Electronic Technician,20%,144,1129,0.127546501,Construction
Electronics Engineer,42%,412,1132,0.363957597,Sales & Marketing
Electronics Technician,40%,339,966,0.350931677,Communication & PR
Elementary Music Teacher,20%,163,1163,0.140154772,Data & IT
Elementary School Principal,15%,678,2750,0.246545455,Hospitality
Elementary School Teacher,20%,159,1102,0.144283122,Administrative & Clerical
Elevator Mechanic,25%,58,490,0.118367347,Hospitality
Elevator Technician,30%,128,721,0.177531207,Supply Chain & Logistics
Eligibility Specialist,50%,154,1110,0.138738739,Law Enforcement
Eligibility Worker,50%,153,1109,0.137962128,Construction
Email Marketing Specialist,55%,232,1857,0.124932687,Administrative & Clerical
Embalmer,20%,71,730,0.097260274,Medical & Healthcare
Embedded Engineer,48%,477,1899,0.251184834,Data & IT
Embedded Software Engineer,55%,117,763,0.153342071,Sales & Marketing
Embedded Systems Engineer,70%,119,853,0.13950762,Hospitality
Embroidery Machine Operator,30%,122,669,0.182361734,Law Enforcement
Embryologist,60%,50,569,0.087873462,Medical & Healthcare
Emergency Department Technician,20%,139,774,0.179586563,Data & IT
Emergency Dispatcher,70%,156,1015,0.153694581,Administrative & Clerical
Emergency Management,15%,826,3271,0.252522164,Sales & Marketing
Emergency Management Specialist,35%,403,1291,0.312161115,Administrative & Clerical
Emergency Medical Technician,20%,142,862,0.164733179,Administrative & Clerical
Emergency Medicine Physician,5%,521,1877,0.277570591,Data & IT
Emergency Medicine Physician Assistant,15%,319,1159,0.275237274,Sales & Marketing
Emergency Room Nurse,5%,661,2774,0.238284066,Hospitality
Emergency Room Technician,20%,140,863,0.162224797,Leadership & Strategy
Employee Relations Manager,25%,212,1356,0.156342183,Hospitality
Employee Relations Specialist,35%,467,1469,0.317903336,Construction
Employment Consultant,20%,216,1431,0.150943396,Data & IT
Employment Specialist,30%,216,1190,0.181512605,Communication & PR
EMT,20%,142,888,0.15990991,Communication & PR
Endocrinologist,10%,315,1321,0.238455715,Construction
Endodontist,5%,494,1793,0.275515895,Administrative & Clerical
Endoscopy Technician,30%,118,687,0.171761281,Medical & Healthcare
Energy Analyst,65%,164,1066,0.153846154,Administrative & Clerical
Energy Consultant,15%,889,3298,0.269557307,Medical & Healthcare
Energy Engineer,32%,182,1114,0.163375224,Sales & Marketing
Energy Manager,15%,891,3222,0.276536313,Data & IT
Engineer,15%,814,3007,0.270701696,Administrative & Clerical
Engineering Assistant,5%,1123,4802,0.233860891,Construction
Engineering Consultant,20%,184,1269,0.14499606,Medical & Healthcare
Engineering Director,15%,1159,4344,0.266804788,Administrative & Clerical
Engineering Manager,15%,1164,4382,0.265632131,Leadership & Strategy
Engineering Program Manager,20%,194,1364,0.142228739,Supply Chain & Logistics
Engineering Project Manager,70%,176,1446,0.121715076,Hospitality
Engineering Teacher,10%,928,3666,0.253136934,Sales & Marketing
Engineering Technician,15%,1045,4243,0.246288004,Medical & Healthcare
English Instructor,20%,154,1083,0.142197599,Leadership & Strategy
English Teacher,20%,154,1083,0.142197599,Medical & Healthcare
English Tutor,30%,148,1156,0.128027682,Data & IT
Enologist,20%,407,1554,0.261904762,Leadership & Strategy
Enrolled Agent,30%,107,733,0.145975443,Leadership & Strategy
Enrollment Specialist,50%,177,1458,0.121399177,Data & IT
Enterprise Architect,25%,242,1885,0.128381963,Communication & PR
Enterprise Data Architect,45%,560,2069,0.270662156,Construction
Entertainer,15%,718,2842,0.252638987,Communication & PR
Entertainment Writer,10%,1082,4477,0.241679696,Hospitality
Entomologist,30%,97,677,0.143279173,Medical & Healthcare
Entry Level Accountant,35%,481,1585,0.303470032,Construction
Entry Level Developer,70%,151,1033,0.146176186,Sales & Marketing
Entry Level Electrical Engineer,28%,186,1491,0.124748491,Sales & Marketing
Entry Level Mechanical Engineer,20%,156,1138,0.137082601,Law Enforcement
Environment Artist,10%,786,3918,0.200612557,Hospitality
Environmental Analyst,65%,164,1067,0.153701968,Leadership & Strategy
Environmental Attorney,20%,165,1186,0.139123103,Supply Chain & Logistics
Environmental Chemist,40%,511,1558,0.327984596,Administrative & Clerical
Environmental Consultant,25%,229,1840,0.124456522,Construction
Environmental Coordinator,20%,213,1388,0.153458213,Leadership & Strategy
Environmental Educator,45%,410,1386,0.295815296,Administrative & Clerical
Environmental Engineer,60%,115,757,0.151915456,Sales & Marketing
Environmental Health Specialist,25%,256,1832,0.139737991,Law Enforcement
Environmental Manager,20%,205,1373,0.149308084,Medical & Healthcare
Environmental Planner,25%,268,1848,0.145021645,Communication & PR
Environmental Project Manager,55%,110,869,0.126582278,Law Enforcement
Environmental Scientist,40%,521,1566,0.332694764,Leadership & Strategy
Environmental Services Manager,20%,177,1213,0.145919209,Leadership & Strategy
Environmental Specialist,35%,376,1239,0.303470541,Supply Chain & Logistics
Environmental Technician,30%,151,951,0.158780231,Supply Chain & Logistics
Epic Analyst,75%,114,798,0.142857143,Data & IT
Epic Trainer,60%,109,900,0.121111111,Data & IT
Epidemiologist,30%,123,784,0.156887755,Law Enforcement
Equestrian,10%,428,2239,0.191156766,Leadership & Strategy
Equipment Engineer,32%,191,1369,0.139517896,Hospitality
Equipment Manager,10%,723,3119,0.231805066,Data & IT
Equipment Operator,30%,127,702,0.180911681,Law Enforcement
Equipment Specialist,30%,168,1253,0.134078212,Leadership & Strategy
Equipment Technician,40%,251,781,0.321382843,Data & IT
Equity Analyst,65%,162,1066,0.151969981,Medical & Healthcare
Equity Research Analyst,65%,162,1066,0.151969981,Supply Chain & Logistics
Equity Research Associate,65%,163,1067,0.152764761,Law Enforcement
Equity Trader,35%,443,1351,0.327905255,Sales & Marketing
Er Nurse,50%,318,1122,0.28342246,Data & IT
Er Rn,40%,214,523,0.40917782,Hospitality
Er Technician,20%,138,866,0.159353349,Medical & Healthcare
Erp Analyst,40%,648,1730,0.374566474,Medical & Healthcare
Erp Consultant,25%,270,1842,0.146579805,Administrative & Clerical
Erp Manager,20%,200,1390,0.143884892,Medical & Healthcare
Erp Project Manager,60%,162,1497,0.108216433,Leadership & Strategy
Escrow Assistant,45%,461,1536,0.300130208,Communication & PR
Escrow Officer,50%,197,1823,0.108063631,Sales & Marketing
Esl Instructor,20%,154,1082,0.14232902,Supply Chain & Logistics
Esl Teacher,20%,154,1082,0.14232902,Law Enforcement
Esl Tutor,30%,145,1137,0.127528584,Administrative & Clerical
Estate Manager,10%,761,3620,0.210220994,Hospitality
Estate Planning Attorney,20%,170,1227,0.138549307,Law Enforcement
Esthetician,5%,777,3116,0.249358151,Law Enforcement
Estimator,40%,648,2029,0.319369147,Leadership & Strategy
Etl Developer,80%,184,1670,0.110179641,Construction
Etl Informatica Developer,50%,161,1087,0.148114075,Supply Chain & Logistics
Etl Tester,50%,159,1100,0.144545455,Medical & Healthcare
Event Coordinator,35%,502,1632,0.307598039,Communication & PR
Event Designer,25%,386,2432,0.158717105,Hospitality
Event Manager,30%,322,2297,0.140182847,Communication & PR
Event Planner,5%,1273,5304,0.240007541,Administrative & Clerical
Event Planning,5%,1267,5285,0.239735099,Medical & Healthcare
Event Producer,40%,936,3182,0.29415462,Hospitality
Event Specialist,20%,306,1793,0.170663692,Construction
Events Assistant,40%,758,2237,0.33884667,Administrative & Clerical
Evidence Technician,50%,380,1370,0.277372263,Administrative & Clerical
Excavator,10%,222,1034,0.214700193,Sales & Marketing
Excavator Operator,40%,306,1146,0.267015707,Supply Chain & Logistics
Exchange Administrator,25%,260,1835,0.141689373,Data & IT
Exchange Engineer,60%,149,1158,0.128670121,Data & IT
Executive,15%,1191,4966,0.23983085,Sales & Marketing
Executive Administrative Assistant,80%,279,2124,0.131355932,Sales & Marketing
Executive Administrator,55%,105,979,0.107252298,Law Enforcement
Executive Assistant,85%,276,2112,0.130681818,Hospitality
Executive Chef,35%,299,1007,0.296921549,Data & IT
Executive Creative Director,25%,368,2299,0.160069595,Administrative & Clerical
Executive Director,15%,1129,4402,0.25647433,Sales & Marketing
Executive Housekeeper,25%,201,1261,0.159397304,Construction
Executive Manager,15%,995,3985,0.249686324,Data & IT
Executive Pastry Chef,30%,105,731,0.143638851,Administrative & Clerical
Executive Personal Assistant,65%,128,1018,0.125736739,Leadership & Strategy
Executive Producer,65%,182,1302,0.139784946,Law Enforcement
Executive Recruiter,15%,947,3897,0.243007442,Sales & Marketing
Executive Secretary,75%,159,1176,0.135204082,Supply Chain & Logistics
Executive Sous Chef,30%,140,815,0.171779141,Communication & PR
Executive Steward,20%,66,683,0.096632504,Sales & Marketing
Exercise Physiologist,20%,645,2517,0.256257449,Communication & PR
Exercise Specialist,20%,193,1287,0.14996115,Communication & PR
Expeditor,30%,155,940,0.164893617,Medical & Healthcare
Export Coordinator,45%,557,1750,0.318285714,Sales & Marketing
Export Specialist,50%,167,1167,0.143101971,Data & IT
Exterminator,18%,208,946,0.21987315,Law Enforcement
External Wholesaler,30%,278,1997,0.139208813,Law Enforcement
Fabrication Manager,50%,114,805,0.141614907,Leadership & Strategy
Fabricator,15%,246,1018,0.241650295,Data & IT
Facilitator,25%,287,2002,0.143356643,Data & IT
Facilities Administrator,40%,673,2177,0.30914102,Data & IT
Facilities Assistant,18%,382,1845,0.20704607,Construction
Facilities Coordinator,50%,156,1117,0.139659803,Administrative & Clerical
Facilities Director,25%,171,1283,0.133281372,Administrative & Clerical
Facilities Engineer,28%,253,1778,0.142294713,Hospitality
Facilities Maintenance,55%,66,578,0.114186851,Administrative & Clerical
Facilities Management,25%,261,1856,0.140625,Administrative & Clerical
Facilities Manager,20%,206,1345,0.153159851,Medical & Healthcare
Facility Coordinator,45%,465,1530,0.303921569,Law Enforcement
Facility Engineer,28%,254,1788,0.142058166,Communication & PR
Facility Maintenance Manager,20%,151,1079,0.139944393,Medical & Healthcare
Facility Manager,30%,168,976,0.172131148,Medical & Healthcare
Facility Security Officer,20%,152,1179,0.128922816,Leadership & Strategy
Facility Supervisor,30%,162,964,0.168049793,Supply Chain & Logistics
Facility Technician,20%,118,848,0.139150943,Supply Chain & Logistics
Fact Checker,20%,240,1555,0.154340836,Construction
Factory Worker,25%,182,1461,0.124572211,Construction
Faculty,10%,826,3475,0.237697842,Hospitality
Failure Analysis Engineer,32%,196,1498,0.130841121,Communication & PR
Family Advocate,25%,295,2066,0.142787996,Data & IT
Family Consumer Science Teacher,20%,147,1028,0.142996109,Construction
Family Counselor,30%,138,903,0.15282392,Hospitality
Family Medicine Physician,5%,517,1867,0.276914837,Leadership & Strategy
Family Nurse Practitioner,40%,450,1494,0.301204819,Supply Chain & Logistics
Family Physician,5%,517,1867,0.276914837,Medical & Healthcare
Family Support Specialist,35%,450,1548,0.290697674,Hospitality
Family Support Worker,35%,454,1560,0.291025641,Communication & PR
Family Therapist,25%,221,1724,0.128190255,Sales & Marketing
Farm,10%,553,2720,0.203308824,Administrative & Clerical
Farm Hand,10%,498,1929,0.258164852,Leadership & Strategy
Farm Manager,10%,609,2914,0.208991078,Medical & Healthcare
Farm Worker,18%,203,822,0.246958637,Sales & Marketing
Farmer,10%,533,2542,0.209677419,Supply Chain & Logistics
Fashion Buyer,5%,1005,4453,0.225690546,Construction
Fashion Consultant,5%,916,3549,0.258100873,Sales & Marketing
Fashion Designer,15%,907,3977,0.228061353,Data & IT
Fashion Stylist,5%,914,3540,0.25819209,Hospitality
Fea Engineer,42%,384,1080,0.355555556,Hospitality
Federal Air Marshal,10%,397,1560,0.254487179,Leadership & Strategy
Federal Contractor,10%,756,2784,0.271551724,Hospitality
Fence Installer,15%,198,908,0.218061674,Administrative & Clerical
Fiber Optic Splicer,55%,67,629,0.106518283,Leadership & Strategy
Fiber Optic Technician,55%,68,632,0.107594937,Medical & Healthcare
Field Application Engineer,35%,444,1220,0.363934426,Data & IT
Field Engineer,28%,257,1801,0.142698501,Data & IT
Field Inspector,30%,175,941,0.18597237,Construction
Field Interviewer,10%,976,4302,0.226871223,Communication & PR
Field Investigator,40%,628,1840,0.341304348,Supply Chain & Logistics
Field Manager,25%,220,1459,0.150788211,Communication & PR
Field Marketing Manager,30%,242,1591,0.152105594,Supply Chain & Logistics
Field Marketing Representative,10%,1115,4804,0.232098251,Hospitality
Field Operator,20%,114,887,0.128523112,Leadership & Strategy
Field Organizer,35%,452,1389,0.325413967,Data & IT
Field Representative,40%,682,2146,0.317800559,Data & IT
Field Sales Manager,25%,222,1454,0.152682256,Data & IT
Field Sales Representative,45%,695,2258,0.307794508,Data & IT
Field Service Engineer,35%,425,1217,0.349219392,Administrative & Clerical
Field Service Representative,45%,622,1903,0.326852338,Administrative & Clerical
Field Service Technician,43%,581,1682,0.345422117,Hospitality
Field Technician,15%,794,2906,0.273227805,Administrative & Clerical
Field Worker,10%,209,716,0.291899441,Hospitality
File Clerk,88%,228,1797,0.12687813,Leadership & Strategy
Film,20%,241,1577,0.152821814,Communication & PR
Film Producer,30%,244,2010,0.121393035,Communication & PR
Finance Administrator,45%,563,1767,0.318619128,Medical & Healthcare
Finance Analyst,65%,168,1242,0.1352657,Construction
Finance Assistant,45%,560,1762,0.317820658,Supply Chain & Logistics
Finance Associate,45%,559,1758,0.317974972,Law Enforcement
Finance Consultant,45%,561,1772,0.316591422,Construction
Finance Controller,15%,983,3620,0.271546961,Communication & PR
Finance Director,10%,1094,4639,0.235826687,Administrative & Clerical
Finance Executive,10%,1081,4390,0.246241458,Leadership & Strategy
Finance Manager,30%,306,1997,0.153229845,Construction
Finance Officer,80%,167,1516,0.110158311,Construction
Finance Professor,10%,962,3977,0.241890873,Communication & PR
Finance Specialist,65%,160,1218,0.13136289,Sales & Marketing
Financial Accountant,35%,483,1572,0.307251908,Hospitality
Financial Advisor,15%,990,3837,0.258014073,Data & IT
Financial Advisor Trainee,15%,956,3721,0.256920183,Administrative & Clerical
Financial Aid Advisor,30%,194,1343,0.144452718,Hospitality
Financial Analyst,70%,172,1125,0.152888889,Construction
Financial Assistant,45%,566,1763,0.321043676,Sales & Marketing
Financial Associate,45%,563,1755,0.320797721,Hospitality
Financial Auditor,65%,154,983,0.156663276,Hospitality
Financial Business Analyst,30%,376,2519,0.149265582,Communication & PR
Financial Consultant,35%,486,1547,0.314156432,Leadership & Strategy
Financial Controller,15%,975,3604,0.270532741,Leadership & Strategy
Financial Coordinator,45%,571,1820,0.313736264,Communication & PR
Financial Counselor,40%,676,2113,0.319924278,Data & IT
Financial Data Analyst,60%,196,1403,0.139700641,Communication & PR
Financial Engineer,60%,192,1635,0.117431193,Administrative & Clerical
Financial Examiner,60%,192,1325,0.14490566,Leadership & Strategy
Financial Manager,15%,962,3573,0.269241534,Medical & Healthcare
Financial Officer,30%,216,1427,0.151366503,Communication & PR
Financial Planner,20%,223,1460,0.152739726,Communication & PR
Financial Planning Analyst,45%,640,2256,0.283687943,Data & IT
Financial Reporting Analyst,35%,532,1624,0.327586207,Law Enforcement
Financial Reporting Manager,40%,741,2194,0.337739289,Administrative & Clerical
Financial Representative,45%,539,1715,0.314285714,Data & IT
Financial Risk Analyst,35%,517,1584,0.326388889,Construction
Financial Services Representative,45%,538,1714,0.313885648,Administrative & Clerical
Financial Specialist,70%,174,1127,0.154392192,Sales & Marketing
Financial Systems Analyst,55%,163,1195,0.136401674,Hospitality
Fine Dining Server,20%,550,2139,0.2571295,Medical & Healthcare
Fingerprint Technician,60%,116,1076,0.107806691,Sales & Marketing
Finish Carpenter,25%,172,1538,0.11183355,Administrative & Clerical
Finisher,10%,448,2046,0.218963832,Law Enforcement
Fire Alarm Technician,35%,218,777,0.280566281,Construction
Fire Chief,20%,167,1179,0.141645462,Medical & Healthcare
Fire Inspector,30%,136,1385,0.098194946,Communication & PR
Fire Investigator,35%,424,1308,0.324159021,Communication & PR
Fire Marshal,25%,200,1658,0.120627262,Administrative & Clerical
Fire Protection Engineer,20%,141,1086,0.129834254,Construction
Fire Safety Director,50%,85,628,0.135350318,Leadership & Strategy
Fire Watch,5%,261,1008,0.258928571,Data & IT
Firearms Instructor,15%,349,1315,0.26539924,Hospitality
Firefighter,10%,378,1449,0.260869565,Medical & Healthcare
Firefighter Paramedic,20%,128,824,0.155339806,Supply Chain & Logistics
Fireman,10%,352,1319,0.26686884,Supply Chain & Logistics
Firmware Engineer,65%,238,1635,0.145565749,Medical & Healthcare
First Officer,20%,281,1113,0.2524708,Leadership & Strategy
Fisheries Biologist,20%,140,1110,0.126126126,Supply Chain & Logistics
Fisheries Technician,20%,136,1095,0.124200913,Law Enforcement
Fitness Coach,20%,193,1283,0.150428683,Data & IT
Fitness Consultant,25%,257,1864,0.137875536,Communication & PR
Fitness Coordinator,20%,202,1330,0.151879699,Administrative & Clerical
Fitness Director,25%,253,1854,0.136461704,Data & IT
Fitness Instructor,20%,656,2559,0.256350137,Data & IT
Fitness Manager,25%,255,1855,0.137466307,Administrative & Clerical
Fitness Specialist,20%,192,1286,0.149300156,Leadership & Strategy
Fitness Trainer,20%,191,1280,0.14921875,Medical & Healthcare
Fitter,30%,98,690,0.142028986,Construction
Flagger,10%,214,683,0.313323572,Communication & PR
Flatbed Driver,45%,123,556,0.221223022,Law Enforcement
Fleet Administrator,10%,805,3168,0.254103535,Sales & Marketing
Fleet Coordinator,15%,666,2965,0.224620573,Medical & Healthcare
Fleet Manager,10%,802,3163,0.25355675,Hospitality
Fleet Mechanic,15%,630,2580,0.244186047,Supply Chain & Logistics
Flight Attendant,10%,409,1541,0.26541207,Communication & PR
Flight Coordinator,15%,676,3031,0.223028703,Law Enforcement
Flight Dispatcher,20%,472,1903,0.248029427,Medical & Healthcare
Flight Engineer,15%,459,1956,0.234662577,Construction
Flight Instructor,50%,55,399,0.137844612,Administrative & Clerical
Flight Nurse,28%,177,1511,0.117140966,Medical & Healthcare
Flight Paramedic,20%,137,1052,0.130228137,Law Enforcement
Flight Test Engineer,15%,704,2536,0.277602524,Leadership & Strategy
Floor Manager,30%,194,1229,0.157851912,Communication & PR
Floor Supervisor,40%,450,1446,0.31120332,Construction
Floor Technician,20%,54,517,0.104448743,Supply Chain & Logistics
Flooring Installer,70%,1,2,0.5,Law Enforcement
Floral Assistant,15%,437,1943,0.224909933,Administrative & Clerical
Floral Designer,20%,221,1748,0.126430206,Data & IT
Florist,20%,213,1704,0.125,Administrative & Clerical
Food And Beverage Manager,30%,212,1442,0.147018031,Leadership & Strategy
Food Broker,30%,157,1152,0.136284722,Medical & Healthcare
Food Handler,10%,347,1160,0.299137931,Medical & Healthcare
Food Inspector,40%,345,1217,0.283483977,Medical & Healthcare
Food Manager,30%,180,1227,0.146699267,Supply Chain & Logistics
Food Prep,25%,129,1314,0.098173516,Sales & Marketing
Food Production Manager,45%,421,1428,0.294817927,Communication & PR
Food Production Worker,35%,260,953,0.272822665,Administrative & Clerical
Food Runner,15%,462,1985,0.232745592,Supply Chain & Logistics
Food Safety Specialist,20%,786,3041,0.258467609,Supply Chain & Logistics
Food Scientist,35%,340,1184,0.287162162,Medical & Healthcare
Food Server,20%,552,2033,0.271519921,Law Enforcement
Food Service Director,40%,495,1647,0.300546448,Construction
Food Service Manager,25%,222,1505,0.147508306,Administrative & Clerical
Food Service Specialist,20%,166,1198,0.138564274,Hospitality
Food Service Supervisor,25%,195,1337,0.145848915,Hospitality
Food Service Worker,25%,154,1144,0.134615385,Communication & PR
Food Services Manager,30%,187,1255,0.149003984,Law Enforcement
Food Stylist,20%,589,2348,0.250851789,Construction
Food Technologist,35%,336,1179,0.284987277,Supply Chain & Logistics
Food Worker,25%,109,864,0.126157407,Data & IT
Football Coach,15%,402,1708,0.235362998,Sales & Marketing
Footwear Designer,5%,800,3168,0.252525253,Communication & PR
Foreclosure Specialist,30%,184,1263,0.145684877,Medical & Healthcare
Foreign Language Teacher,15%,566,2110,0.268246445,Communication & PR
Foreman,30%,119,1295,0.091891892,Sales & Marketing
Forensic Accountant,65%,157,996,0.157630522,Communication & PR
Forensic Chemist,65%,54,423,0.127659574,Supply Chain & Logistics
Forensic Engineer,55%,85,747,0.113788487,Medical & Healthcare
Forensic Examiner,60%,125,1385,0.090252708,Hospitality
Forensic Investigator,40%,419,1269,0.330181245,Leadership & Strategy
Forensic Nurse,20%,145,1096,0.13229927,Supply Chain & Logistics
Forensic Pathologist,5%,417,1705,0.24457478,Sales & Marketing
Forensic Psychologist,5%,468,2114,0.221381268,Hospitality
Forensic Scientist,60%,129,1396,0.092406877,Communication & PR
Forensic Social Worker,20%,647,2667,0.242594676,Administrative & Clerical
Forensic Specialist,55%,85,743,0.114401077,Supply Chain & Logistics
Forest Firefighter,10%,372,1480,0.251351351,Law Enforcement
Forester,10%,549,2492,0.220304976,Hospitality
Forestry Technician,10%,270,854,0.316159251,Sales & Marketing
Fork Lift Operator,15%,218,943,0.231177094,Leadership & Strategy
Forklift,60%,22,166,0.13253012,Construction
Forklift Driver,35%,160,648,0.24691358,Medical & Healthcare
Forklift Mechanic,40%,121,503,0.24055666,Administrative & Clerical
Forklift Operator,30%,144,1383,0.104121475,Hospitality
Form Carpenter,25%,176,1574,0.111817027,Leadership & Strategy
Formulation Chemist,30%,154,1440,0.106944444,Construction
Formulation Scientist,45%,449,1551,0.289490651,Sales & Marketing
Foster Care Case Manager,30%,173,1505,0.114950166,Communication & PR
Founder,5%,972,3668,0.264994547,Law Enforcement
Fpga Design Engineer,55%,130,998,0.130260521,Communication & PR
Fpga Engineer,30%,136,1332,0.102102102,Construction
Framer,20%,41,439,0.093394077,Medical & Healthcare
Franchise Business Consultant,10%,1150,4700,0.244680851,Sales & Marketing
Franchise Consultant,20%,217,1454,0.149243466,Administrative & Clerical
Franchise Manager,25%,229,1480,0.15472973,Leadership & Strategy
Fraud Analyst,40%,711,2184,0.325549451,Law Enforcement
Fraud Investigator,50%,169,1270,0.133070866,Medical & Healthcare
Fraud Specialist,50%,176,1320,0.133333333,Leadership & Strategy
Freelance,65%,182,1206,0.150912106,Hospitality
Freelance Artist,20%,245,1780,0.137640449,Leadership & Strategy
Freelance Copywriter,20%,1190,4933,0.241232516,Leadership & Strategy
Freelance Makeup Artist,20%,207,1293,0.160092807,Medical & Healthcare
Freelance Photographer,20%,299,2044,0.1462818,Supply Chain & Logistics
Freelance Producer,20%,292,1763,0.165626773,Sales & Marketing
Freelance Translator,55%,133,1125,0.118222222,Leadership & Strategy
Freelance Writer,20%,1186,4899,0.242090222,Medical & Healthcare
Freelancer,63%,120,974,0.123203285,Construction
Freight Agent,40%,615,2030,0.302955665,Supply Chain & Logistics
Freight Associate,25%,214,1722,0.1242741,Administrative & Clerical
Freight Broker,20%,740,2997,0.24691358,Supply Chain & Logistics
Freight Coordinator,25%,246,1828,0.134573304,Leadership & Strategy
Freight Handler,15%,210,998,0.210420842,Administrative & Clerical
French Teacher,20%,152,1049,0.144899905,Sales & Marketing
Front Desk,77%,215,1779,0.120854413,Medical & Healthcare
Front Desk Agent,60%,108,878,0.123006834,Leadership & Strategy
Front Desk Assistant,55%,91,815,0.111656442,Construction
Front Desk Associate,40%,826,2445,0.337832311,Sales & Marketing
Front Desk Attendant,67%,126,886,0.14221219,Sales & Marketing
Front Desk Clerk,75%,223,1801,0.1238201,Law Enforcement
Front Desk Coordinator,60%,105,855,0.122807018,Medical & Healthcare
Front Desk Manager,15%,841,3660,0.229781421,Administrative & Clerical
Front Desk Receptionist,75%,225,1803,0.124792013,Construction
Front Desk Supervisor,35%,194,1236,0.156957929,Sales & Marketing
Front End Developer,70%,159,1104,0.144021739,Hospitality
Front End Engineer,70%,158,1093,0.144556267,Communication & PR
Front End Web Developer,70%,159,1055,0.1507109,Data & IT
Front Of House Manager,35%,443,1432,0.309357542,Leadership & Strategy
Front Office Assistant,35%,470,1642,0.286236297,Hospitality
Front Office Clerk,67%,129,926,0.139308855,Hospitality
Front Office Coordinator,40%,873,2608,0.334739264,Administrative & Clerical
Front Office Manager,20%,1,2,0.5,Sales & Marketing
Front Office Receptionist,75%,226,1812,0.124724062,Sales & Marketing
Front Office Supervisor,35%,468,1627,0.287645974,Medical & Healthcare
Fuel Truck Driver,40%,58,180,0.322222222,Law Enforcement
Full Charge Bookkeeper,75%,123,858,0.143356643,Hospitality
Full Stack Developer,70%,154,1044,0.147509579,Administrative & Clerical
Functional Consultant,20%,219,1431,0.153039832,Sales & Marketing
